timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,group_index
2025-03-09 20:26:26.540369,none,-509,8287,-1237,-93,57,-14,user1,0
2025-03-09 20:26:26.544398,none,-519,8240,-1203,-80,69,-13,user1,0
2025-03-09 20:26:26.548844,none,-563,8160,-1672,-81,82,-6,user1,0
2025-03-09 20:26:26.552935,none,-575,7860,-1555,-81,101,-2,user1,0
2025-03-09 20:26:26.557347,none,-241,8416,-490,-153,168,5,user1,0
2025-03-09 20:26:26.561446,none,37,8444,-805,-188,192,-3,user1,0
2025-03-09 20:26:26.565472,none,75,8224,-933,-197,206,-6,user1,0
2025-03-09 20:26:26.569566,none,78,8146,-1178,-169,207,11,user1,0
2025-03-09 20:26:26.573604,none,-9,8187,-1461,-134,200,28,user1,0
2025-03-09 20:26:26.577766,none,-173,8238,-1531,-126,192,32,user1,0
2025-03-09 20:26:26.582138,none,-291,8250,-1356,-135,194,25,user1,0
2025-03-09 20:26:26.586653,none,-247,8261,-1227,-150,198,11,user1,0
2025-03-09 20:26:26.590687,none,-192,8228,-1265,-162,199,0,user1,0
2025-03-09 20:26:26.594822,none,-149,8148,-1271,-170,196,-5,user1,0
2025-03-09 20:26:26.598851,none,-112,8107,-1209,-176,185,-4,user1,0
2025-03-09 20:26:26.602883,none,-133,8230,-1281,-185,170,-11,user1,0
2025-03-09 20:26:26.607339,none,-146,8358,-1365,-192,156,-16,user1,0
2025-03-09 20:26:26.611562,none,-289,8332,-1368,-205,144,-23,user1,0
2025-03-09 20:26:26.615603,none,-419,8316,-1274,-210,132,-21,user1,0
2025-03-09 20:26:26.619631,none,-433,8305,-1251,-194,121,-15,user1,0
2025-03-09 20:26:26.624135,none,-436,8317,-1332,-176,109,-13,user1,0
2025-03-09 20:26:26.628157,none,-480,8316,-1317,-155,91,-9,user1,0
2025-03-09 20:26:26.632707,none,-446,8270,-1295,-140,83,-6,user1,0
2025-03-09 20:26:26.637195,none,-397,8276,-1399,-125,62,2,user1,0
2025-03-09 20:26:26.641764,none,-358,8279,-1402,-113,50,5,user1,0
2025-03-09 20:26:26.645841,none,-329,8263,-1329,-107,37,9,user1,0
2025-03-09 20:26:26.649865,none,-255,8311,-1284,-99,27,7,user1,0
2025-03-09 20:26:26.654293,cross,-140,8763,-1258,-90,13,25,user1,0
2025-03-09 20:26:26.658321,cross,-228,7766,-1355,-66,-6,45,user1,0
2025-03-09 20:26:26.662516,cross,-241,7887,-1351,-99,0,-15,user1,0
2025-03-09 20:26:26.666873,cross,-48,8011,-1337,-109,-9,-25,user1,0
2025-03-09 20:26:26.670892,cross,-212,8048,-1327,-107,-20,-33,user1,0
2025-03-09 20:26:26.675041,cross,-265,8019,-1372,-105,-24,-29,user1,0
2025-03-09 20:26:26.679068,cross,-277,7948,-1458,-107,-25,-25,user1,0
2025-03-09 20:26:26.683090,cross,-202,7941,-1500,-116,-22,-26,user1,0
2025-03-09 20:26:26.687356,cross,-176,7981,-1506,-120,-21,-28,user1,0
2025-03-09 20:26:26.691411,cross,-181,8070,-1511,-114,-22,-29,user1,0
2025-03-09 20:26:26.695549,cross,-190,8143,-1464,-97,-28,-24,user1,0
2025-03-09 20:26:26.699582,cross,-245,8235,-1369,-79,-31,-21,user1,0
2025-03-09 20:26:26.703807,cross,-301,8311,-1316,-63,-33,-15,user1,0
2025-03-09 20:26:26.708331,cross,-282,8350,-1257,-50,-34,-12,user1,0
2025-03-09 20:26:26.712365,cross,-251,8384,-1249,-40,-35,-9,user1,0
2025-03-09 20:26:26.716575,cross,-235,8450,-1198,-27,-34,-11,user1,0
2025-03-09 20:26:26.721224,cross,-211,8487,-1158,5,-33,-8,user1,0
2025-03-09 20:26:26.725760,cross,-206,8432,-1125,23,-33,-7,user1,0
2025-03-09 20:26:26.729787,cross,-201,8374,-1092,39,-35,-4,user1,0
2025-03-09 20:26:26.733842,cross,-248,8293,-1093,49,-36,-5,user1,0
2025-03-09 20:26:26.738283,cross,-267,8211,-1088,47,-36,0,user1,0
2025-03-09 20:26:26.742390,cross,-279,8158,-1088,32,-38,7,user1,0
2025-03-09 20:26:26.746924,cross,-248,8166,-1098,15,-39,12,user1,0
2025-03-09 20:26:26.751070,cross,-278,8226,-1045,3,-43,15,user1,0
2025-03-09 20:26:26.755595,cross,-298,8260,-1058,3,-44,22,user1,0
2025-03-09 20:26:26.759625,cross,-303,8278,-1052,7,-45,27,user1,0
2025-03-09 20:26:26.763652,cross,-349,8318,-1060,17,-43,31,user1,0
2025-03-09 20:26:26.767753,cross,-348,8334,-1029,31,-44,32,user1,0
2025-03-09 20:26:26.772114,cross,-356,8319,-1050,43,-43,37,user1,0
2025-03-09 20:26:26.776173,cross,-356,8332,-1064,60,-40,38,user1,0
2025-03-09 20:26:26.780196,cross,-364,8344,-1056,75,-37,34,user1,0
2025-03-09 20:26:26.784728,cross,-351,8346,-1069,87,-37,33,user1,0
2025-03-09 20:26:26.788852,cross,-346,8317,-1071,100,-29,32,user1,0
2025-03-09 20:26:26.792886,cross,-342,8293,-1073,108,-27,26,user1,0
2025-03-09 20:26:26.797240,cross,-285,8191,-1115,124,-17,29,user1,0
2025-03-09 20:26:26.801748,cross,-288,8153,-1155,128,-11,32,user1,0
2025-03-09 20:26:26.805776,cross,-293,8088,-1176,125,-8,33,user1,0
2025-03-09 20:26:26.809857,cross,-233,8047,-1239,118,-3,31,user1,0
2025-03-09 20:26:26.813882,cross,-241,8022,-1257,102,3,29,user1,0
2025-03-09 20:26:26.817909,cross,-230,7929,-1274,82,7,27,user1,0
2025-03-09 20:26:26.822406,cross,-210,7929,-1327,61,11,28,user1,0
2025-03-09 20:26:26.826993,cross,-225,7891,-1335,42,14,27,user1,0
2025-03-09 20:26:26.831203,cross,-150,7936,-1353,27,10,30,user1,0
2025-03-09 20:26:26.835539,cross,-194,7954,-1408,12,5,31,user1,0
2025-03-09 20:26:26.839853,none,-255,7957,-1390,-4,4,29,user1,0
2025-03-09 20:26:26.844040,none,-247,8071,-1384,-22,6,27,user1,0
2025-03-09 20:26:26.848551,none,-289,8093,-1367,-26,8,22,user1,0
2025-03-09 20:26:26.852574,none,-328,7946,-1332,-24,7,6,user1,0
2025-03-09 20:26:26.856865,none,-395,8082,-1364,-11,9,-38,user1,0
2025-03-09 20:26:26.860930,none,-295,8382,-1317,5,11,-12,user1,0
2025-03-09 20:26:27.132697,none,-312,8165,-1214,16,12,-6,user1,1
2025-03-09 20:26:27.136879,none,-335,8158,-1195,10,16,-4,user1,1
2025-03-09 20:26:27.140947,none,-363,8134,-1192,10,16,-7,user1,1
2025-03-09 20:26:27.145141,none,-360,8169,-1203,6,19,-13,user1,1
2025-03-09 20:26:27.150017,none,-369,8205,-1198,7,18,-10,user1,1
2025-03-09 20:26:27.154105,none,-363,8170,-1193,8,18,-13,user1,1
2025-03-09 20:26:27.158626,none,-377,8197,-1175,6,17,-12,user1,1
2025-03-09 20:26:27.162720,none,-354,8189,-1214,7,15,-13,user1,1
2025-03-09 20:26:27.167235,none,-324,8176,-1192,6,13,-5,user1,1
2025-03-09 20:26:27.171489,none,-334,8138,-1200,6,11,-6,user1,1
2025-03-09 20:26:27.175567,none,-312,8113,-1204,4,8,-4,user1,1
2025-03-09 20:26:27.180083,none,-316,8072,-1226,1,6,-4,user1,1
2025-03-09 20:26:27.184244,none,-324,8073,-1233,0,4,-1,user1,1
2025-03-09 20:26:27.188744,none,-288,8118,-1215,-5,3,0,user1,1
2025-03-09 20:26:27.193192,none,-301,8086,-1226,-12,-1,0,user1,1
2025-03-09 20:26:27.197222,none,-284,8125,-1234,-11,-4,4,user1,1
2025-03-09 20:26:27.201248,none,-276,8170,-1233,-14,-6,6,user1,1
2025-03-09 20:26:27.205678,none,-279,8189,-1208,-12,-8,7,user1,1
2025-03-09 20:26:27.209711,none,-291,8223,-1201,-9,-6,5,user1,1
2025-03-09 20:26:27.213969,none,-305,8240,-1184,-8,-7,7,user1,1
2025-03-09 20:26:27.218321,none,-279,8245,-1165,-10,-10,5,user1,1
2025-03-09 20:26:27.222864,none,-284,8215,-1194,-7,-10,5,user1,1
2025-03-09 20:26:27.226893,none,-285,8197,-1221,-5,-11,5,user1,1
2025-03-09 20:26:27.231373,none,-329,8215,-1188,-9,-8,5,user1,1
2025-03-09 20:26:27.235401,none,-333,8183,-1194,-6,-8,3,user1,1
2025-03-09 20:26:27.239431,none,-320,8188,-1178,-2,-6,2,user1,1
2025-03-09 20:26:27.243899,none,-320,8204,-1180,-3,-9,0,user1,1
2025-03-09 20:26:27.248323,none,-348,8132,-1180,-3,-8,0,user1,1
2025-03-09 20:26:27.252472,none,-340,8159,-1175,-3,-7,0,user1,1
2025-03-09 20:26:27.256838,none,-333,8119,-1170,-6,-5,0,user1,1
2025-03-09 20:26:27.261143,none,-327,8158,-1201,-11,-7,1,user1,1
2025-03-09 20:26:27.265673,none,-276,8170,-1199,-10,-7,2,user1,1
2025-03-09 20:26:27.269751,none,-319,8162,-1182,-6,-5,3,user1,1
2025-03-09 20:26:27.273774,none,-289,8155,-1171,-3,-3,5,user1,1
2025-03-09 20:26:27.277802,none,-284,8172,-1182,0,-4,3,user1,1
2025-03-09 20:26:27.282383,none,-317,8192,-1190,3,0,2,user1,1
2025-03-09 20:26:27.286801,none,-328,8176,-1216,6,0,2,user1,1
2025-03-09 20:26:27.291244,none,-352,8172,-1182,9,0,0,user1,1
2025-03-09 20:26:27.295522,none,-343,8121,-1198,5,1,1,user1,1
2025-03-09 20:26:27.299849,none,-350,8100,-1214,4,1,-4,user1,1
2025-03-09 20:26:27.303875,none,-392,8112,-1209,4,-2,-6,user1,1
2025-03-09 20:26:27.308035,none,-393,8125,-1175,-1,-1,-6,user1,1
2025-03-09 20:26:27.312265,none,-364,8082,-1174,-8,1,-8,user1,1
2025-03-09 20:26:27.316781,none,-366,8117,-1151,-16,2,-6,user1,1
2025-03-09 20:26:27.321194,none,-336,8167,-1023,-25,5,-8,user1,1
2025-03-09 20:26:27.325715,none,-258,8185,-1168,-24,6,-8,user1,1
2025-03-09 20:26:27.330069,none,-310,8163,-1269,-25,0,-7,user1,1
2025-03-09 20:26:27.334512,none,-347,8164,-1293,-32,-2,-7,user1,1
2025-03-09 20:26:27.338865,none,-366,8160,-1265,-33,-3,-6,user1,1
2025-03-09 20:26:27.343181,none,-356,8220,-1260,-33,-3,1,user1,1
2025-03-09 20:26:27.347314,cross,-340,8433,-1112,-28,-7,9,user1,1
2025-03-09 20:26:27.351605,cross,-325,8195,-1103,-8,-13,44,user1,1
2025-03-09 20:26:27.356056,cross,-393,7906,-1256,-23,-5,-5,user1,1
2025-03-09 20:26:27.360253,cross,-211,8128,-1207,-23,2,-30,user1,1
2025-03-09 20:26:27.364283,cross,-327,8182,-1130,-14,-2,-39,user1,1
2025-03-09 20:26:27.368765,cross,-430,8127,-1149,-6,-5,-30,user1,1
2025-03-09 20:26:27.372857,cross,-473,8131,-1210,-7,-3,-18,user1,1
2025-03-09 20:26:27.377164,cross,-312,8178,-1165,-23,-1,-5,user1,1
2025-03-09 20:26:27.381365,cross,-301,8158,-1152,-29,-2,-3,user1,1
2025-03-09 20:26:27.385435,cross,-321,8199,-1111,-33,-5,-2,user1,1
2025-03-09 20:26:27.389649,cross,-348,8240,-1106,-35,-4,-1,user1,1
2025-03-09 20:26:27.393678,cross,-362,8246,-1099,-28,-1,-1,user1,1
2025-03-09 20:26:27.397726,cross,-338,8253,-1131,-19,0,-1,user1,1
2025-03-09 20:26:27.402222,cross,-293,8290,-1120,-10,2,-3,user1,1
2025-03-09 20:26:27.406541,cross,-321,8279,-1127,-5,0,-4,user1,1
2025-03-09 20:26:27.411014,cross,-356,8269,-1126,-3,0,-3,user1,1
2025-03-09 20:26:27.415047,cross,-340,8254,-1092,2,1,0,user1,1
2025-03-09 20:26:27.419516,cross,-312,8253,-1143,6,4,0,user1,1
2025-03-09 20:26:27.423942,cross,-308,8234,-1093,17,6,1,user1,1
2025-03-09 20:26:27.427975,cross,-313,8203,-1125,22,4,4,user1,1
2025-03-09 20:26:27.432091,cross,-304,8218,-1111,28,7,6,user1,1
2025-03-09 20:26:27.436526,cross,-323,8223,-1152,31,5,11,user1,1
2025-03-09 20:26:27.440556,cross,-292,8262,-1129,36,3,14,user1,1
2025-03-09 20:26:27.444609,cross,-305,8229,-1151,39,2,18,user1,1
2025-03-09 20:26:27.448633,cross,-310,8264,-1151,42,0,21,user1,1
2025-03-09 20:26:27.453151,cross,-298,8286,-1128,48,-4,25,user1,1
2025-03-09 20:26:27.457307,cross,-318,8240,-1147,57,-6,25,user1,1
2025-03-09 20:26:27.461656,cross,-339,8212,-1145,63,-6,28,user1,1
2025-03-09 20:26:27.466175,cross,-332,8193,-1148,64,-7,27,user1,1
2025-03-09 20:26:27.470510,cross,-346,8186,-1182,67,-9,28,user1,1
2025-03-09 20:26:27.474669,cross,-332,8128,-1190,69,-9,28,user1,1
2025-03-09 20:26:27.478805,cross,-345,8110,-1193,68,-8,28,user1,1
2025-03-09 20:26:27.483018,cross,-347,8088,-1187,65,-7,29,user1,1
2025-03-09 20:26:27.487304,cross,-345,8073,-1195,59,-5,28,user1,1
2025-03-09 20:26:27.491447,cross,-324,8077,-1197,55,-4,30,user1,1
2025-03-09 20:26:27.495471,cross,-298,8083,-1220,48,-3,33,user1,1
2025-03-09 20:26:27.499497,cross,-332,8113,-1223,40,-3,29,user1,1
2025-03-09 20:26:27.503586,cross,-296,8115,-1247,36,0,31,user1,1
2025-03-09 20:26:27.507722,cross,-289,8136,-1223,32,0,32,user1,1
2025-03-09 20:26:27.512123,cross,-289,8098,-1236,34,0,31,user1,1
2025-03-09 20:26:27.516620,cross,-311,8116,-1255,33,-1,28,user1,1
2025-03-09 20:26:27.520646,cross,-329,8142,-1259,33,1,27,user1,1
2025-03-09 20:26:27.524670,cross,-340,8119,-1271,34,0,24,user1,1
2025-03-09 20:26:27.528936,cross,-332,8110,-1287,32,-3,22,user1,1
2025-03-09 20:26:27.532966,cross,-334,8114,-1283,27,-3,19,user1,1
2025-03-09 20:26:27.536990,cross,-342,8075,-1301,21,-2,18,user1,1
2025-03-09 20:26:27.541520,cross,-307,8073,-1250,8,-1,13,user1,1
2025-03-09 20:26:27.545696,cross,-302,8116,-1231,0,-2,11,user1,1
2025-03-09 20:26:27.549726,cross,-308,8074,-1236,0,1,9,user1,1
2025-03-09 20:26:27.554194,cross,-313,8120,-1245,0,2,9,user1,1
2025-03-09 20:26:27.878087,none,-321,8134,-1191,-19,2,-5,user1,2
2025-03-09 20:26:27.882466,none,-324,8141,-1217,-20,2,-4,user1,2
2025-03-09 20:26:27.886615,none,-320,8164,-1201,-18,4,-2,user1,2
2025-03-09 20:26:27.890662,none,-302,8169,-1172,-20,5,-2,user1,2
2025-03-09 20:26:27.894696,none,-301,8187,-1181,-15,6,1,user1,2
2025-03-09 20:26:27.898721,none,-320,8155,-1162,-13,5,1,user1,2
2025-03-09 20:26:27.903305,none,-314,8182,-1193,-11,4,0,user1,2
2025-03-09 20:26:27.907452,none,-313,8181,-1192,-11,5,0,user1,2
2025-03-09 20:26:27.911736,none,-337,8166,-1184,-14,3,0,user1,2
2025-03-09 20:26:27.915762,none,-348,8156,-1201,-15,0,0,user1,2
2025-03-09 20:26:27.920042,none,-337,8146,-1194,-15,2,0,user1,2
2025-03-09 20:26:27.924137,none,-340,8149,-1189,-18,1,1,user1,2
2025-03-09 20:26:27.928288,none,-348,8171,-1185,-19,1,-3,user1,2
2025-03-09 20:26:27.932658,none,-347,8149,-1203,-20,1,-2,user1,2
2025-03-09 20:26:27.936696,none,-356,8154,-1181,-23,1,-2,user1,2
2025-03-09 20:26:27.940730,none,-381,8135,-1159,-29,3,-1,user1,2
2025-03-09 20:26:27.944759,none,-373,8133,-1174,-27,3,-2,user1,2
2025-03-09 20:26:27.949207,none,-303,8132,-1181,-31,4,-4,user1,2
2025-03-09 20:26:27.953312,none,-336,8126,-1181,-31,2,-5,user1,2
2025-03-09 20:26:27.957709,none,-313,8130,-1191,-30,6,-3,user1,2
2025-03-09 20:26:27.962045,none,-323,8141,-1174,-28,7,-2,user1,2
2025-03-09 20:26:27.966213,none,-338,8191,-1167,-23,5,0,user1,2
2025-03-09 20:26:27.970485,none,-311,8234,-1166,-17,6,6,user1,2
2025-03-09 20:26:27.974517,none,-326,8268,-1151,-14,2,11,user1,2
2025-03-09 20:26:27.978988,none,-295,8283,-1149,-10,0,11,user1,2
2025-03-09 20:26:27.983485,none,-323,8254,-1144,-2,0,9,user1,2
2025-03-09 20:26:27.987876,none,-312,8237,-1149,0,1,10,user1,2
2025-03-09 20:26:27.992099,none,-330,8225,-1157,2,2,6,user1,2
2025-03-09 20:26:27.996131,none,-318,8178,-1157,2,3,5,user1,2
2025-03-09 20:26:28.000419,none,-333,8192,-1184,1,0,4,user1,2
2025-03-09 20:26:28.004542,none,-340,8176,-1173,2,0,2,user1,2
2025-03-09 20:26:28.008793,none,-355,8148,-1189,0,0,2,user1,2
2025-03-09 20:26:28.013005,none,-364,8120,-1196,0,1,1,user1,2
2025-03-09 20:26:28.017116,none,-334,8096,-1185,-6,4,1,user1,2
2025-03-09 20:26:28.021209,none,-366,8089,-1187,-9,5,1,user1,2
2025-03-09 20:26:28.025330,none,-347,8119,-1208,-14,3,0,user1,2
2025-03-09 20:26:28.029845,none,-354,8156,-1220,-18,7,0,user1,2
2025-03-09 20:26:28.033933,none,-324,8153,-1202,-22,7,-1,user1,2
2025-03-09 20:26:28.038425,none,-339,8154,-1212,-22,8,0,user1,2
2025-03-09 20:26:28.042542,none,-328,8170,-1168,-22,9,0,user1,2
2025-03-09 20:26:28.046574,none,-355,8192,-1159,-21,4,0,user1,2
2025-03-09 20:26:28.050605,none,-317,8201,-1173,-18,4,0,user1,2
2025-03-09 20:26:28.054984,none,-341,8200,-1162,-17,4,-1,user1,2
2025-03-09 20:26:28.059016,none,-354,8204,-1153,-13,7,-3,user1,2
2025-03-09 20:26:28.063123,none,-348,8126,-1166,-14,3,-2,user1,2
2025-03-09 20:26:28.067146,none,-353,8115,-1180,-16,2,-2,user1,2
2025-03-09 20:26:28.071249,none,-346,8118,-1177,-18,-1,-3,user1,2
2025-03-09 20:26:28.075292,none,-374,8088,-1176,-24,0,-4,user1,2
2025-03-09 20:26:28.079322,none,-334,8137,-1149,-31,0,-5,user1,2
2025-03-09 20:26:28.083504,none,-316,8307,-1119,-31,-2,-1,user1,2
2025-03-09 20:26:28.087815,cross,-402,8531,-1075,-17,-3,31,user1,2
2025-03-09 20:26:28.091921,cross,-485,7646,-1234,-25,0,6,user1,2
2025-03-09 20:26:28.095948,cross,-331,7962,-1225,-47,16,-27,user1,2
2025-03-09 20:26:28.099972,cross,-263,8021,-1183,-54,10,-40,user1,2
2025-03-09 20:26:28.104176,cross,-341,8144,-1118,-48,4,-35,user1,2
2025-03-09 20:26:28.108214,cross,-432,8195,-1169,-40,0,-15,user1,2
2025-03-09 20:26:28.112554,cross,-424,8241,-1181,-40,3,0,user1,2
2025-03-09 20:26:28.116576,cross,-335,8313,-1152,-42,6,7,user1,2
2025-03-09 20:26:28.120679,cross,-278,8333,-1135,-39,3,8,user1,2
2025-03-09 20:26:28.125162,cross,-302,8320,-1071,-22,2,2,user1,2
2025-03-09 20:26:28.129208,cross,-338,8282,-1074,-15,1,0,user1,2
2025-03-09 20:26:28.133739,cross,-335,8219,-1083,-7,5,-2,user1,2
2025-03-09 20:26:28.137945,cross,-317,8193,-1154,1,5,-3,user1,2
2025-03-09 20:26:28.141988,cross,-283,8176,-1139,4,4,-2,user1,2
2025-03-09 20:26:28.146270,cross,-325,8156,-1147,5,5,0,user1,2
2025-03-09 20:26:28.150514,cross,-364,8144,-1128,5,2,2,user1,2
2025-03-09 20:26:28.154619,cross,-350,8141,-1144,5,1,8,user1,2
2025-03-09 20:26:28.159144,cross,-297,8185,-1128,6,3,11,user1,2
2025-03-09 20:26:28.163227,cross,-302,8215,-1146,7,0,14,user1,2
2025-03-09 20:26:28.167468,cross,-326,8235,-1137,7,2,16,user1,2
2025-03-09 20:26:28.171529,cross,-328,8253,-1158,11,1,19,user1,2
2025-03-09 20:26:28.175715,cross,-309,8255,-1137,17,1,19,user1,2
2025-03-09 20:26:28.180233,cross,-296,8301,-1125,20,0,23,user1,2
2025-03-09 20:26:28.184371,cross,-296,8295,-1114,28,-1,27,user1,2
2025-03-09 20:26:28.188477,cross,-336,8295,-1097,37,-5,30,user1,2
2025-03-09 20:26:28.192504,cross,-314,8301,-1098,42,-3,31,user1,2
2025-03-09 20:26:28.197095,cross,-382,8242,-1109,55,-7,32,user1,2
2025-03-09 20:26:28.201191,cross,-392,8209,-1122,58,-8,32,user1,2
2025-03-09 20:26:28.205702,cross,-386,8229,-1123,60,-6,35,user1,2
2025-03-09 20:26:28.210209,cross,-387,8211,-1131,58,-7,35,user1,2
2025-03-09 20:26:28.214269,cross,-351,8174,-1137,59,-7,33,user1,2
2025-03-09 20:26:28.218767,cross,-363,8202,-1124,57,-4,38,user1,2
2025-03-09 20:26:28.222961,cross,-332,8205,-1138,55,-4,38,user1,2
2025-03-09 20:26:28.227006,cross,-330,8171,-1127,56,0,36,user1,2
2025-03-09 20:26:28.231056,cross,-327,8182,-1143,56,0,37,user1,2
2025-03-09 20:26:28.235566,cross,-342,8161,-1172,57,1,37,user1,2
2025-03-09 20:26:28.240079,cross,-317,8145,-1199,55,0,36,user1,2
2025-03-09 20:26:28.244112,cross,-350,8108,-1184,50,2,34,user1,2
2025-03-09 20:26:28.248624,cross,-361,8076,-1205,46,0,32,user1,2
2025-03-09 20:26:28.252656,none,-347,8075,-1226,42,1,31,user1,2
2025-03-09 20:26:28.257172,none,-323,7814,-1257,27,0,13,user1,2
2025-03-09 20:26:28.261705,none,-399,7658,-1347,13,2,-21,user1,2
2025-03-09 20:26:28.265893,none,-419,8143,-1356,-7,6,-13,user1,2
2025-03-09 20:26:28.269942,none,-282,8318,-1299,-18,0,33,user1,2
2025-03-09 20:26:28.273985,none,-290,8371,-1226,-16,-7,53,user1,2
2025-03-09 20:26:28.278048,none,-289,8275,-1194,-11,-4,54,user1,2
2025-03-09 20:26:28.282105,none,-287,8218,-1135,-7,-6,38,user1,2
2025-03-09 20:26:28.286625,none,-287,8203,-1134,0,-6,19,user1,2
2025-03-09 20:26:28.290662,none,-378,8190,-1128,10,-6,3,user1,2
2025-03-09 20:26:28.294690,none,-411,8153,-1214,21,-3,-1,user1,2
2025-03-09 20:26:28.672228,none,-320,8153,-1171,-16,2,2,user1,3
2025-03-09 20:26:28.676765,none,-321,8180,-1146,-16,2,5,user1,3
2025-03-09 20:26:28.681087,none,-350,8202,-1164,-11,-1,2,user1,3
2025-03-09 20:26:28.685538,none,-310,8195,-1129,-9,1,5,user1,3
2025-03-09 20:26:28.689974,none,-337,8190,-1124,-10,-2,7,user1,3
2025-03-09 20:26:28.694453,none,-315,8166,-1135,-12,0,7,user1,3
2025-03-09 20:26:28.698569,none,-331,8174,-1105,-10,0,6,user1,3
2025-03-09 20:26:28.702952,none,-317,8176,-1130,-10,-3,8,user1,3
2025-03-09 20:26:28.707064,none,-355,8145,-1122,-10,0,8,user1,3
2025-03-09 20:26:28.711460,none,-379,8165,-1149,-10,0,7,user1,3
2025-03-09 20:26:28.715961,none,-382,8152,-1119,-12,1,6,user1,3
2025-03-09 20:26:28.720481,none,-327,8148,-1129,-14,3,5,user1,3
2025-03-09 20:26:28.724512,none,-350,8188,-1138,-15,3,4,user1,3
2025-03-09 20:26:28.728890,none,-326,8207,-1148,-16,6,7,user1,3
2025-03-09 20:26:28.733086,none,-350,8208,-1135,-15,6,11,user1,3
2025-03-09 20:26:28.737258,none,-357,8234,-1125,-11,7,7,user1,3
2025-03-09 20:26:28.741489,none,-340,8245,-1143,-9,7,10,user1,3
2025-03-09 20:26:28.746022,none,-347,8230,-1139,-5,3,12,user1,3
2025-03-09 20:26:28.750528,none,-320,8239,-1122,-1,5,9,user1,3
2025-03-09 20:26:28.754943,none,-345,8206,-1135,0,5,9,user1,3
2025-03-09 20:26:28.758970,none,-338,8192,-1125,5,4,7,user1,3
2025-03-09 20:26:28.763207,none,-319,8169,-1131,5,3,8,user1,3
2025-03-09 20:26:28.767754,none,-322,8154,-1143,4,1,7,user1,3
2025-03-09 20:26:28.772228,none,-328,8118,-1160,2,-1,10,user1,3
2025-03-09 20:26:28.776296,none,-327,8146,-1166,0,-2,8,user1,3
2025-03-09 20:26:28.780733,none,-356,8118,-1133,-4,-1,8,user1,3
2025-03-09 20:26:28.784794,none,-331,8123,-1146,-6,0,8,user1,3
2025-03-09 20:26:28.788814,none,-311,8139,-1176,-8,-3,8,user1,3
2025-03-09 20:26:28.792841,none,-345,8138,-1187,-11,-2,10,user1,3
2025-03-09 20:26:28.796896,none,-321,8126,-1167,-14,-2,7,user1,3
2025-03-09 20:26:28.801241,none,-339,8167,-1172,-18,1,7,user1,3
2025-03-09 20:26:28.805267,none,-324,8171,-1151,-22,2,3,user1,3
2025-03-09 20:26:28.809296,none,-365,8204,-1144,-21,6,1,user1,3
2025-03-09 20:26:28.813320,none,-334,8192,-1157,-19,2,2,user1,3
2025-03-09 20:26:28.817758,none,-319,8213,-1155,-19,3,4,user1,3
2025-03-09 20:26:28.822307,none,-316,8198,-1133,-17,2,1,user1,3
2025-03-09 20:26:28.826843,none,-364,8224,-1120,-17,4,0,user1,3
2025-03-09 20:26:28.831292,none,-363,8213,-1135,-16,4,0,user1,3
2025-03-09 20:26:28.835335,none,-351,8185,-1115,-13,5,0,user1,3
2025-03-09 20:26:28.839399,none,-354,8177,-1097,-10,5,0,user1,3
2025-03-09 20:26:28.843902,none,-350,8175,-1099,-9,6,-1,user1,3
