timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-03-27 15:27:13.730371,none,1181,7695,2371,-56,3,-11,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.735412,cross,1279,8531,2526,-48,0,4,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.740461,cross,919,7370,2566,-9,-1,12,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.745511,cross,1080,7449,2251,-42,21,-46,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.750446,cross,898,7958,2329,-41,15,-31,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.754697,cross,897,7961,2393,-27,13,-15,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.759763,cross,946,8041,2358,-19,14,-2,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.764807,cross,983,8089,2421,-13,17,4,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.769856,cross,984,8085,2434,8,15,10,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.774739,cross,959,8205,2224,47,12,25,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.779877,cross,987,8269,2271,70,7,33,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.784920,cross,941,8304,2283,87,7,41,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.789958,cross,952,8281,2258,123,1,48,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.795200,cross,1034,8224,2250,139,-2,49,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.800252,cross,1068,8113,2226,151,-7,47,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.805384,cross,1077,8007,2179,158,-6,44,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.810524,cross,1114,7685,2156,142,-12,31,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
2025-03-27 15:27:13.815558,cross,1018,7576,2229,125,-13,26,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,15
