timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-04-02 12:02:08.230133,cross,-164,5275,-6160,-121,-3,-42,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.235206,cross,-358,5216,-6174,-124,-18,-49,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.239421,cross,-451,5099,-6298,-142,-15,-46,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.244521,cross,-445,4945,-6319,-180,-10,-43,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.249620,cross,-375,5188,-6172,-236,-17,-40,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.254019,cross,-321,5350,-6178,-245,-21,-36,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.259140,cross,-273,5436,-6113,-245,-29,-36,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.264218,cross,-355,5539,-6043,-242,-36,-37,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.270108,cross,-478,5842,-6070,-217,-39,-17,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.275195,cross,-450,5914,-6068,-199,-39,-15,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.280256,cross,-417,5989,-6075,-180,-40,-9,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.286010,cross,-406,6088,-6136,-145,-36,4,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.291636,cross,-376,6130,-6133,-124,-31,18,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.296376,cross,-385,6185,-6105,-104,-27,20,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.301436,cross,-443,6191,-6096,-65,-17,32,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.306467,cross,-411,6198,-6071,-47,-7,38,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.311498,cross,-386,6258,-6028,-29,-8,45,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.316597,cross,-433,6385,-5981,17,-1,55,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.321621,cross,-470,6469,-5968,45,5,63,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.326650,cross,-499,6480,-5923,73,10,64,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.331678,cross,-494,6454,-5928,101,19,65,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.336965,cross,-458,6382,-5954,128,24,69,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.342087,cross,-403,6271,-5976,171,41,65,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.347153,cross,-400,6191,-5947,191,47,60,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.352178,cross,-393,6101,-5994,206,54,50,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.357207,cross,-326,5809,-6000,222,56,37,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.362239,none,-317,5627,-6014,226,53,27,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.367268,none,-318,5537,-6009,219,47,17,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.372648,none,-417,4501,-6255,166,49,-38,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.377745,none,-28,5441,-6068,119,38,-45,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.382828,none,-379,5545,-5989,129,9,-1,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.387859,none,-497,5301,-6098,127,7,14,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.392886,none,-378,5049,-6128,81,13,1,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.397910,none,-377,5140,-6135,59,9,-13,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.402939,none,-311,5200,-6200,49,4,-24,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.407973,none,-304,5234,-6240,40,-7,-22,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.413000,none,-540,5212,-6288,10,-16,-7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.418020,none,-529,5282,-6360,-10,-9,5,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.423258,none,-445,5322,-6390,-29,-10,14,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.428275,none,-379,5389,-6369,-39,-9,20,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.433294,none,-364,5476,-6322,-61,-3,28,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.438313,none,-339,5537,-6265,-65,-4,29,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.443338,none,-378,5603,-6202,-74,-6,28,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.448428,none,-389,5666,-6174,-76,-7,31,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.453435,none,-336,5794,-6136,-72,-4,34,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.458461,none,-325,5867,-6115,-64,-3,37,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.463490,none,-379,5899,-6102,-56,0,40,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.468518,none,-382,5889,-6099,-42,5,45,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.734168,none,-334,5589,-6076,-12,-5,-2,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.738555,none,-361,5586,-6058,-13,-5,0,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.743631,none,-402,5591,-6062,-14,-2,0,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.748984,none,-420,5592,-6098,-13,-3,1,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.753576,none,-423,5566,-6151,-17,-2,0,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.758314,none,-439,5553,-6179,-18,0,-3,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.763388,none,-404,5531,-6179,-20,0,-5,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.768841,none,-366,5522,-6149,-23,-2,-15,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
2025-04-02 12:02:08.774797,none,-380,5423,-6176,-34,-7,-34,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,2
